emote,technology,yt-link,duration,done
🐍,python,https://youtu.be/s8XjEuplx_U,3:10:30,True
🐍,python,https://youtu.be/PXMJ6FS7llk,2:42:55,False
🐍,python,https://youtu.be/0oSsLbh_Kv4,1:22:23,False
🐍,python,https://youtu.be/gbyYXgiSgdM,3:46:22,False
🐧,linux,https://youtu.be/RZ4p-saaQkc,1:14:29,True
🐧,linux,https://youtu.be/ZtqBQ68cfJc,5:00:17,True
🐧,linux,https://youtu.be/1hvVcEhcbLM,4:41:24,False
🦀,rust,https://youtu.be/MsocPEZBd-M,1:25:37,True
⭕,big o notation,https://youtu.be/Mo4vesaut8g,1:56:16,True
🐳,docker,https://youtu.be/fqMOX6JJhGo,2:10:19,False
🐳,docker,https://youtu.be/kTp5xUtcalw,5:56:37,False
🐳,docker,https://youtu.be/hmkF77F9TLw,5:04:11,False
🌙,lua,https://youtu.be/I549C6SmUnk,11:11:51,False
🗃️️,database,https://youtu.be/FzlpwoeSrE0,1:25:42,True
